# m0 | m12  | ng          | ns          | nn          | ll          | sb       | ss       | tb          | bb          | gg       | sg
1040 | 340 | 1.03184 | 1.17074 | 1.2151 | 1.05854 | 1.71913 | 1.25 | 2.12815 | 2.38222 | 3.34683 | 2.09091
1040 | 360 | 1.02448 | 1.17755 | 1.20611 | 1.06043 | 1.74242 | 1.24171 | 2.15845 | 2.43502 | 3.53075 | 2.13725
1040 | 380 | 1.02312 | 1.18624 | 1.1993 | 1.06033 | 1.76718 | 1.23714 | 2.1891 | 2.49601 | 3.70455 | 2.17213
1040 | 400 | 1.01952 | 1.19517 | 1.19329 | 1.06003 | 1.78744 | 1.23183 | 2.22092 | 2.5701 | 3.90625 | 2.21374
1040 | 420 | 1.01814 | 1.20705 | 1.187 | 1.0609 | 1.81481 | 1.22689 | 2.26788 | 2.6404 | 4.11885 | 2.26596
1040 | 440 | 1.01683 | 1.21596 | 1.17864 | 1.06062 | 1.84921 | 1.22165 | 2.30118 | 2.70789 | 4.3594 | 2.31481
1040 | 460 | 1.01575 | 1.22764 | 1.17297 | 1.06304 | 1.89106 | 1.22152 | 2.34205 | 2.78366 | 4.61126 | 2.36598
1040 | 480 | 1.01766 | 1.23572 | 1.16925 | 1.06223 | 1.92513 | 1.21875 | 2.39084 | 2.8697 | 4.84979 | 2.42446
1040 | 500 | 1.01691 | 1.25194 | 1.1565 | 1.06408 | 1.97552 | 1.20192 | 2.42461 | 2.96074 | 5.15068 | 2.48996
1040 | 520 | 1.01883 | 1.25848 | 1.15011 | 1.0656 | 2.01376 | 1.20192 | 2.48205 | 3.04914 | 5.45652 | 2.54902
1040 | 540 | 1.02123 | 1.27246 | 1.14638 | 1.06559 | 2.06667 | 1.2009 | 2.53031 | 3.14991 | 5.78045 | 2.62231
1040 | 560 | 1.02421 | 1.28467 | 1.1415 | 1.06643 | 2.112 | 1.19288 | 2.57999 | 3.26107 | 6.15176 | 2.69126
1040 | 580 | 1.02836 | 1.2962 | 1.13379 | 1.06639 | 2.15344 | 1.18267 | 2.63704 | 3.3669 | 6.51064 | 2.77011
1040 | 600 | 1.0328 | 1.30927 | 1.12931 | 1.06912 | 2.20423 | 1.17353 | 2.68788 | 3.5076 | 6.91275 | 2.85484
1040 | 620 | 1.03897 | 1.32442 | 1.12348 | 1.06868 | 2.26415 | 1.171 | 2.74233 | 3.62955 | 7.36842 | 2.92481
1040 | 640 | 1.04688 | 1.33797 | 1.11875 | 1.0709 | 2.32911 | 1.15962 | 2.81076 | 3.75153 | 7.85124 | 2.9979
1040 | 660 | 1.05307 | 1.35252 | 1.11417 | 1.07339 | 2.38908 | 1.14881 | 2.88178 | 3.88255 | 8.32905 | 3.06902
1040 | 680 | 1.05839 | 1.36841 | 1.10904 | 1.07365 | 2.4537 | 1.14394 | 2.93585 | 4.01628 | 8.84 | 3.15464
1040 | 700 | 1.06846 | 1.38202 | 1.10188 | 1.07629 | 2.53459 | 1.13592 | 3.01658 | 4.14922 | 9.4375 | 3.24638
1040 | 720 | 1.07887 | 1.4009 | 1.09939 | 1.07776 | 2.61803 | 1.13483 | 3.09947 | 4.28941 | 10 | 3.33607
1040 | 740 | 1.08661 | 1.41326 | 1.09475 | 1.07793 | 2.7 | 1.12862 | 3.17915 | 4.44601 | 10.7176 | 3.42197
1040 | 760 | 1.09665 | 1.42952 | 1.09134 | 1.08087 | 2.78226 | 1.12266 | 3.26715 | 4.60501 | 11.4354 | 3.55372
1040 | 780 | 1.10768 | 1.44622 | 1.08764 | 1.08423 | 2.88268 | 1.11892 | 3.35139 | 4.7675 | 12.218 | 3.65023
1040 | 800 | 1.11994 | 1.46446 | 1.08369 | 1.08533 | 2.99225 | 1.1162 | 3.44324 | 4.97268 | 13.1548 | 3.75839
1040 | 820 | 1.13184 | 1.48101 | 1.07788 | 1.08761 | 3.08855 | 1.1106 | 3.54856 | 5.16851 | 14.0566 | 3.87952
1040 | 840 | 1.14326 | 1.49805 | 1.07511 | 1.09056 | 3.20242 | 1.10909 | 3.65875 | 5.38891 | 15.1424 | 4.02778
1040 | 860 | 1.15392 | 1.51542 | 1.07207 | 1.09201 | 3.32203 | 1.104 | 3.75499 | 5.6323 | 16.235 | 4.15075
1040 | 880 | 1.16963 | 1.53557 | 1.06777 | 1.09555 | 3.42857 | 1.10053 | 3.87168 | 5.89359 | 17.4231 | 4.29197
1040 | 900 | 1.18148 | 1.5531 | 1.06476 | 1.09828 | 3.57627 | 1.09718 | 3.99389 | 6.15091 | 18.6957 | 4.45396
