# m0 | m12 | xsec in pb!
1240 | 840  | 0.0009
1240 | 860  | 0.0008
1240 | 880  | 0.0007
1240 | 900  | 0.0006
1240 | 920  | 0.0005
1240 | 940  | 0.0004
1240 | 960  | 0.0003
1240 | 980  | 0.0003
1260 | 1000 | 0.0002
1260 | 100  | 85.8200
1260 | 120  | 31.2200
1260 | 140  | 14.3200
1260 | 160  | 7.3960
1260 | 180  | 4.1890
1260 | 200  | 2.5240
1260 | 220  | 1.6060
1260 | 240  | 1.0550
1260 | 260  | 0.7205
1260 | 280  | 0.5044
1260 | 300  | 0.3621
1260 | 320  | 0.2644
1260 | 340  | 0.1950
1260 | 360  | 0.1470
1260 | 380  | 0.1107
1260 | 400  | 0.0853
1260 | 420  | 0.0663
1260 | 440  | 0.0517
1260 | 460  | 0.0408
1260 | 480  | 0.0322
1260 | 500  | 0.0257
1260 | 520  | 0.0205
1260 | 540  | 0.0166
1260 | 560  | 0.0134
1260 | 580  | 0.0108
1260 | 600  | 0.0089
1260 | 620  | 0.0072
1260 | 640  | 0.0059
1260 | 660  | 0.0049
1260 | 680  | 0.0040
1260 | 700  | 0.0033
1260 | 720  | 0.0028
1260 | 740  | 0.0023
1260 | 760  | 0.0019
1260 | 780  | 0.0016
1260 | 800  | 0.0013
1260 | 820  | 0.0011
1260 | 840  | 0.0009
1260 | 860  | 0.0008
1260 | 880  | 0.0007
1260 | 900  | 0.0006
1260 | 920  | 0.0005
1260 | 940  | 0.0004
1260 | 960  | 0.0003
1260 | 980  | 0.0003
1280 | 1000 | 0.0002
1280 | 100  | 85.5100
1280 | 120  | 31.1100
1280 | 140  | 14.2700
1280 | 160  | 7.3790
1280 | 180  | 4.1970
1280 | 200  | 2.5190
1280 | 220  | 1.6030
1280 | 240  | 1.0540
1280 | 260  | 0.7201
1280 | 280  | 0.5033
1280 | 300  | 0.3636
1280 | 320  | 0.2643
1280 | 340  | 0.1953
1280 | 360  | 0.1460
1280 | 380  | 0.1113
1280 | 400  | 0.0858
1280 | 420  | 0.0665
1280 | 440  | 0.0519
1280 | 460  | 0.0408
1280 | 480  | 0.0322
1280 | 500  | 0.0258
1280 | 520  | 0.0207
1280 | 540  | 0.0166
1280 | 560  | 0.0135
1280 | 580  | 0.0109
1280 | 600  | 0.0088
1280 | 620  | 0.0073
1280 | 640  | 0.0059
1280 | 660  | 0.0049
1280 | 680  | 0.0040
1280 | 700  | 0.0034
1280 | 720  | 0.0028
1280 | 740  | 0.0023
1280 | 760  | 0.0019
1280 | 780  | 0.0016
1280 | 800  | 0.0013
1280 | 820  | 0.0011
1280 | 840  | 0.0009
1280 | 860  | 0.0008
1280 | 880  | 0.0007
1280 | 900  | 0.0006
1280 | 920  | 0.0005
1280 | 940  | 0.0004
1280 | 960  | 0.0003
1280 | 980  | 0.0003
1300 | 1000 | 0.0002
1300 | 100  | 85.8500
1300 | 120  | 31.1900
1300 | 140  | 14.2600
1300 | 160  | 7.3820
1300 | 180  | 4.1650
1300 | 200  | 2.5170
1300 | 220  | 1.5980
1300 | 240  | 1.0490
1300 | 260  | 0.7191
1300 | 280  | 0.5043
1300 | 300  | 0.3610
1300 | 320  | 0.2623
1300 | 340  | 0.1939
1300 | 360  | 0.1457
1300 | 380  | 0.1111
1300 | 400  | 0.0851
1300 | 420  | 0.0659
1300 | 440  | 0.0520
1300 | 460  | 0.0406
1300 | 480  | 0.0325
1300 | 500  | 0.0256
1300 | 520  | 0.0206
1300 | 540  | 0.0165
1300 | 560  | 0.0134
1300 | 580  | 0.0109
1300 | 600  | 0.0089
1300 | 620  | 0.0073
1300 | 640  | 0.0060
1300 | 660  | 0.0049
1300 | 680  | 0.0041
1300 | 700  | 0.0033
1300 | 720  | 0.0028
1300 | 740  | 0.0023
1300 | 760  | 0.0019
1300 | 780  | 0.0016
1300 | 800  | 0.0013
1300 | 820  | 0.0011
1300 | 840  | 0.0010
1300 | 860  | 0.0008
1300 | 880  | 0.0007
1300 | 900  | 0.0006
1300 | 920  | 0.0005
1300 | 940  | 0.0004
1300 | 960  | 0.0003
1300 | 980  | 0.0003
1320 | 1000 | 0.0002
1320 | 100  | 86.4200
1320 | 120  | 30.9500
1320 | 140  | 14.1200
1320 | 160  | 7.3820
1320 | 180  | 4.1630
1320 | 200  | 2.5000
1320 | 220  | 1.5910
1320 | 240  | 1.0530
1320 | 260  | 0.7163
1320 | 280  | 0.5022
1320 | 300  | 0.3590
1320 | 320  | 0.2624
1320 | 340  | 0.1938
1320 | 360  | 0.1469
1320 | 380  | 0.1125
1320 | 400  | 0.0858
1320 | 420  | 0.0664
1320 | 440  | 0.0517
1320 | 460  | 0.0408
1320 | 480  | 0.0322
1320 | 500  | 0.0257
1320 | 520  | 0.0206
1320 | 540  | 0.0165
1320 | 560  | 0.0135
1320 | 580  | 0.0110
1320 | 600  | 0.0089
1320 | 620  | 0.0073
1320 | 640  | 0.0060
1320 | 660  | 0.0049
1320 | 680  | 0.0041
1320 | 700  | 0.0034
1320 | 720  | 0.0028
1320 | 740  | 0.0023
1320 | 760  | 0.0019
1320 | 780  | 0.0016
1320 | 800  | 0.0013
1320 | 820  | 0.0011
1320 | 840  | 0.0010
1320 | 860  | 0.0008
1320 | 880  | 0.0007
1320 | 900  | 0.0006
1320 | 920  | 0.0005
1320 | 940  | 0.0004
1320 | 960  | 0.0003
1320 | 980  | 0.0003
1340 | 1000 | 0.0002
1340 | 100  | 86.3800
1340 | 120  | 31.0300
1340 | 140  | 14.1900
1340 | 160  | 7.3840
1340 | 180  | 4.1560
1340 | 200  | 2.5100
1340 | 220  | 1.5810
1340 | 240  | 1.0480
1340 | 260  | 0.7167
1340 | 280  | 0.5013
1340 | 300  | 0.3586
1340 | 320  | 0.2613
1340 | 340  | 0.1952
1340 | 360  | 0.1469
1340 | 380  | 0.1115
1340 | 400  | 0.0854
1340 | 420  | 0.0662
1340 | 440  | 0.0514
1340 | 460  | 0.0407
1340 | 480  | 0.0324
1340 | 500  | 0.0258
1340 | 520  | 0.0206
1340 | 540  | 0.0166
1340 | 560  | 0.0134
1340 | 580  | 0.0110
1340 | 600  | 0.0089
1340 | 620  | 0.0073
1340 | 640  | 0.0060
1340 | 660  | 0.0049
1340 | 680  | 0.0041
1340 | 700  | 0.0034
1340 | 720  | 0.0028
1340 | 740  | 0.0023
1340 | 760  | 0.0019
1340 | 780  | 0.0016
1340 | 800  | 0.0014
1340 | 820  | 0.0011
1340 | 840  | 0.0010
1340 | 860  | 0.0008
1340 | 880  | 0.0007
1340 | 900  | 0.0006
1340 | 920  | 0.0005
1340 | 940  | 0.0004
1340 | 960  | 0.0003
1340 | 980  | 0.0003
1360 | 1000 | 0.0002
1360 | 100  | 86.6300
1360 | 120  | 31.2500
1360 | 140  | 14.2800
1360 | 160  | 7.3160
1360 | 180  | 4.1350
1360 | 200  | 2.4960
1360 | 220  | 1.5860
1360 | 240  | 1.0460
1360 | 260  | 0.7187
1360 | 280  | 0.5015
1360 | 300  | 0.3579
1360 | 320  | 0.2603
1360 | 340  | 0.1945
1360 | 360  | 0.1462
1360 | 380  | 0.1111
1360 | 400  | 0.0853
1360 | 420  | 0.0665
1360 | 440  | 0.0516
1360 | 460  | 0.0406
1360 | 480  | 0.0325
1360 | 500  | 0.0259
1360 | 520  | 0.0206
1360 | 540  | 0.0167
1360 | 560  | 0.0135
1360 | 580  | 0.0109
1360 | 600  | 0.0089
1360 | 620  | 0.0073
1360 | 640  | 0.0060
1360 | 660  | 0.0050
1360 | 680  | 0.0041
